Area,Postal Code,Latitude,Longtitide
Zeugolatio,200 01,37.938205,22.800683
Mantinia,220 05,37.6165132045188,22.384159084709285
Nemea,205 00,37.82186178275198,22.659589977879943
Kapsia,221 00,37.61498633024228,22.345507626016772
Louka,221 00,37.56761850812824,22.457712215501786
Tegea,220 12,37.45503319463273,22.4193562340771
Kamari,220 12,37.440022774340186,22.41081439076418
Vouno,220 12,37.44690889940913,22.391608805972766
Sparta,231 00,37.073568044229425,22.427920342313236
Kalamata,241 00,37.0367050253457,22.111917114996917
Tripoli,221 00,37.511247191547454,22.371764614543984
Pyrgos,271 00,37.67233571019897,21.4417812436724
Korinthos,201 0037.93703065732604,22.92739337226209
Spetses,180 50,37.26277249360422,23.13038748006553
Hydra,180 40,37.33835885998821,23.47093783198969
Poros,180 20,37.50563954527482,23.457248030860107
Aegina,180 10,37.72887939171568,23.485510080270156
Rethymno,741 00,35.3658426772746,24.48799049430181
Agios Nikolaos,721 00,35.191061174269656,25.714531201542446
Kithira,802 00,36.25034526875598,22.999656640918072
Milos,848 00,36.74535559207423,24.429736203229236
Thira,847 00,36.42184435682835,25.431268915395393
Anafi,840 09,36.36714248133469,25.782284401942697
Karpathos,857 00,35.49656632993895,27.173005816172893
Kasos,858 00,35.414022617414936,26.928894255224673
Rhodes,851 00,36.44842836419851,28.22227939163934
Tilos,850 02,36.420271717779315,27.383074581544605
Simi,856 00,36.616320076923415,27.834090209833906
Kos,853 00,36.89250592706009,27.285493581604076
Kalimnos,852 00,36.955032071816916,26.991461969155075
Amorgos,840 08,36.87228701899494,25.9400482303577
Naxos,843 00,37.07653293413093,25.392318952559446
Paros,844 00,37.098360653854776,25.17269264462871
Sifnos,840 03,36.98511805159564,24.675283459510506
Patmos,855 00,37.323771063586456,26.54446169460108
Samos,831 00,37.76005902152866,26.909739987900434
Ikaria,833 00,37.58961068473517,26.147039270550426
Siros,841 00,37.426293451411325,24.937616057519293
Kithnos,840 06,37.38078501853939,24.425423947653055
Kea,840 00,37.63182687544856,24.34570577654733
Andros,845 00,37.84584289826247,24.8671768548918
Chios,821 00,38.36682612947608,26.07357077399551
Skiros,340 07,38.83311758903011,24.59914281992848
Alonissos,370 05,39.219162156609116,23.91303205594277
Skopelos,370 03,39.130304047265476,23.68416320764793
Skiathos,370 02,39.16371332685482,23.461523468690146
Lesbos,811 00,39.25332139934309,26.26318612742908
Lemnos,814 00,39.92695956874981,25.23030416586388
Samothraki,680 02,40.46720833050676,25.557649796007688
Thasos,640 04,40.72378485524346,24.612732807567166
Alexandroupoli,681 00,40.857439388892736,25.888462204185355
Komotini,691 00,41.09039241996595,25.394677687652102
Xanthi,671 00,41.14926275781491,24.92247468108557
Kabala,654 00,40.974792914732625,24.398241574264656
Drama,661 00,41.146698124704564,24.17762195688271
Serres,621 00,41.094585347155025,23.49206903427869
Kilkis,611 00,40.98302824917359,22.868122839504526
Poligiros,631 00,40.380207701766146,23.490102026001487
Edessa,582 00,40.810088473119414,22.0381790604984
Florina,531 00,40.77118224459117,21.376952927978788
Veria,591 32,40.512563224446055,22.208202571643394
Kastoria,521 00,40.54406711129824,21.2549827978987
Kozani,501 00,40.296161660497546,21.8600334922047
Katerini,601 00,40.280679303538605,22.484270127719522
Grevena,511 00,40.10771007295979,21.41382920188915
Ioannina,455 00,39.74777373240581,20.883865354024113
Trikala,421 00,39.584165122449534,21.782118141957653
Larisa,415 00,39.63017613682956,22.444708945998894
Igoumenitsa,461 00,39.487541794614295,20.284852563343232
Corfu,491 00,39.62044087432396,19.879267794625388
Karditsa,431 00,39.36530100924329,21.91760996305532
Arta,471 00,39.14583327357357,20.995460986354168
Preveza,481 00,38.97459247555525,20.741121655965028
Volos,382 00,39.364387122070035,22.94834536762765
Lamia,351 00,38.89854435830873,22.421828692123736
Karpenisi,361 00,38.885746682697814,21.775750995823323
Mesologgi,302 00,38.41408948213663,21.420321259568848
Amfissa,331 00,38.528823329320176,22.37756652912503
Livadia,321 00,38.42934169801353,22.884387271023957
Chalkida,341 00,38.46475723010327,23.60427024952527
Lefkada,311 00,38.708115485301256,20.68488440821939
Kefalonia,280 00,38.215620094365605,20.633951370591216
Zante,291 00,37.79754261942515,20.86994792628817
Other,Other,Other,Other